name,nationality,age,yellow_cards,double_yellow_cards,red_cards,penalties,appearances,league
Sander van der Eijk,Netherlands,34,9,2,0,0,3,Conference
Robert Jones,England,38,17,0,0,1,3,Conference
Oleksiy Derevinskyi,Ukraine,36,16,0,0,1,3,Conference
Chrysovalantis Theouli,Cyprus,36,6,0,1,2,3,Conference
Adam Ladebäck,Sweden,33,11,0,1,1,3,Conference
Clément Turpin,France,43,10,0,0,1,3,Conference
Lothar D'hondt,Belgium,31,8,1,0,0,3,Conference
Kevin Clancy,Scotland,41,16,2,0,1,2,Conference
Bobby Madden,Scotland,46,4,0,0,1,2,Conference
Juri Frischer,Estonia,41,2,0,0,1,2,Conference
Fabio Maresca,Italy,44,11,0,0,0,2,Conference
Fábio Veríssimo,Portugal,42,8,1,0,1,2,Conference
Ádám Farkas,Hungary,43,11,0,0,0,2,Conference
Sergiy Boyko,Ukraine,48,10,0,0,2,2,Conference
Halis Özkahya,Türkiye,45,6,0,0,0,2,Conference
Peter Kjærsgaard,Denmark,41,12,0,0,1,2,Conference
Dennis Higler,Netherlands,40,4,0,0,0,2,Conference
Yevgen Aranovskyi,Ukraine,49,8,0,0,2,2,Conference
Pavel Orel,Czech Republic,37,7,0,0,2,2,Conference
Dumitru Muntean,Moldova,40,10,0,0,0,2,Conference
Chris Kavanagh,England,40,5,0,0,0,2,Conference
Petri Viljanen,Finland,38,8,0,0,0,2,Conference
Jérôme Brisard,France,39,8,0,0,1,2,Conference
Bram Van Driessche,Belgium,40,8,0,1,0,2,Conference
Istvan Kovacs,Romania,41,7,0,0,1,2,Conference
Igor Pajac,Croatia,40,12,0,0,0,2,Conference
Krzysztof Jakubik,Poland,42,6,0,0,0,2,Conference
Andreas Ekberg,Sweden,40,8,0,0,1,2,Conference
Artur Soares Dias,Portugal,46,17,0,0,1,2,Conference
José María Sánchez Martínez,Spain,42,8,0,0,0,2,Conference
Sascha Stegemann,Germany,40,6,0,0,0,2,Conference
Novak Simovic,Serbia,43,9,0,0,0,2,Conference
Iwan Griffith,Wales,37,12,0,1,0,2,Conference
